Conference,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount,CitationCount_CrossRef,PubsCited_CrossRef,Award
InfoVis,2018,Dynamic Composite Data Physicalization Using Wheeled Micro-Robots,10.1109/TVCG.2018.2865159,http://dx.doi.org/10.1109/TVCG.2018.2865159,737,747,J,"This paper introduces dynamic composite physicalizations, a new class of physical visualizations that use collections of self-propelled objects to represent data. Dynamic composite physicalizations can be used both to give physical form to well-known interactive visualization techniques, and to explore new visualizations and interaction paradigms. We first propose a design space characterizing composite physicalizations based on previous work in the fields of Information Visualization and Human Computer Interaction. We illustrate dynamic composite physicalizations in two scenarios demonstrating potential benefits for collaboration and decision making, as well as new opportunities for physical interaction. We then describe our implementation using wheeled micro-robots capable of locating themselves and sensing user input, before discussing limitations and opportunities for future work.",Mathieu Le Goc;Charles Perin;Sean Follmer;Jean-Daniel Fekete;Pierre Dragicevic,Mathieu Le Goc;Charles Perin;Sean Follmer;Jean-Daniel Fekete;Pierre Dragicevic,"Stanford University, USA;University of Victoria, Canada;Stanford University, USA;INRIA, Saclay, France;INRIA, Saclay, France",10.1109/TVCG.2014.2346984;10.1109/TVCG.2014.2346424;10.1109/TVCG.2008.153;10.1109/TVCG.2007.70539;10.1109/TVCG.2014.2346292;10.1109/TVCG.2013.227;10.1109/TVCG.2013.134;10.1109/TVCG.2014.2346250;10.1109/TVCG.2017.2743859;10.1109/TVCG.2016.2598920;10.1109/TVCG.2012.199;10.1109/TVCG.2014.2346279;10.1109/TVCG.2007.70541;10.1109/TVCG.2016.2598498,"information visualization,data physicalization,tangible user interfaces",23,15,92,
InfoVis,2018,FiberClay: Sculpting Three Dimensional Trajectories to Reveal Structural Insights,10.1109/TVCG.2018.2865191,http://dx.doi.org/10.1109/TVCG.2018.2865191,704,714,J,"Visualizing 3D trajectories to extract insights about their similarities and spatial configuration is a critical task in several domains. Air traffic controllers for example deal with large quantities of aircrafts routes to optimize safety in airspace and neuroscientists attempt to understand neuronal pathways in the human brain by visualizing bundles of fibers from DTI images. Extracting insights from masses of 3D trajectories is challenging as the multiple three dimensional lines have complex geometries, may overlap, cross or even merge with each other, making it impossible to follow individual ones in dense areas. As trajectories are inherently spatial and three dimensional, we propose FiberClay: a system to display and interact with 3D trajectories in immersive environments. FiberClay renders a large quantity of trajectories in real time using GP-GPU techniques. FiberClay also introduces a new set of interactive techniques for composing complex queries in 3D space leveraging immersive environment controllers and user position. These techniques enable an analyst to select and compare sets of trajectories with specific geometries and data properties. We conclude by discussing insights found using FiberClay with domain experts in air traffic control and neurology.",Christophe Hurter;Nathalie Henry Riche;Steven Mark Drucker;Maxime Cordeil;Richard Alligier;Romain Vuillemot,Christophe Hurter;Nathalie Henry Riche;Steven M. Drucker;Maxime Cordeil;Richard Alligier;Romain Vuillemot,"ENAC, The French Civil Aviation University, Toulouse University, France;Microsoft Research;Microsoft Research;Monash University;ENAC, The French Civil Aviation University, Toulouse University, France;Univ Lyon, École Centrale de Lyon, CNRS UMR52 05, LIRIS, France",10.1109/TVCG.2016.2599217;10.1109/TVCG.2011.192;10.1109/VISUAL.1991.175794;10.1109/TVCG.2008.153;10.1109/TVCG.2011.233;10.1109/TVCG.2013.226;10.1109/TVCG.2017.2744338;10.1109/TVCG.2009.145;10.1109/INFVIS.2004.27;10.1109/TVCG.2011.224;10.1109/TVCG.2015.2467112;10.1109/TVCG.2013.153;10.1109/TVCG.2012.265;10.1109/TVCG.2017.2744079;10.1109/TVCG.2012.217,"Immersive Analytics,3D Visualization,Dynamic Queries,Bimanual Interaction,Multidimensional Data",41,40,58,
InfoVis,2018,Origin-Destination Flow Maps in Immersive Environments,10.1109/TVCG.2018.2865192,http://dx.doi.org/10.1109/TVCG.2018.2865192,693,703,J,"Immersive virtual- and augmented-reality headsets can overlay a flat image against any surface or hang virtual objects in the space around the user. The technology is rapidly improving and may, in the long term, replace traditional flat panel displays in many situations. When displays are no longer intrinsically flat, how should we use the space around the user for abstract data visualisation? In this paper, we ask this question with respect to origin-destination flow data in a global geographic context. We report on the findings of three studies exploring different spatial encodings for flow maps. The first experiment focuses on different 2D and 3D encodings for flows on flat maps. We find that participants are significantly more accurate with raised flow paths whose height is proportional to flow distance but fastest with traditional straight line 2D flows. In our second and third experiment we compared flat maps, 3D globes and a novel interactive design we call<i>MapsLink</i>, involving a pair of linked flat maps. We find that participants took significantly more time with MapsLink than other flow maps while the 3D globe with raised flows was the fastest, most accurate, and most preferred method. Our work suggests that<i>careful</i>use of the third spatial dimension can resolve visual clutter in complex flow maps.",Yalong Yang 0001;Tim Dwyer;Bernhard Jenny;Kim Marriott;Maxime Cordeil;Haohui Chen,Yalong Yang;Tim Dwyer;Bernhard Jenny;Kim Marriott;Maxime Cordeil;Haohui Chen,"Monash University;Monash University;Monash University;Monash University;Monash University;Data61, CSIRO, Australia",10.1109/TVCG.2016.2598958;10.1109/TVCG.2011.202;10.1109/TVCG.2007.70521;10.1109/INFVIS.1995.528697;10.1109/INFVIS.1996.559226;10.1109/INFVIS.2005.1532150;10.1109/TVCG.2011.181;10.1109/TVCG.2014.2346441;10.1109/INFVIS.2003.1249008;10.1109/TVCG.2016.2598885,"Origin-destination,Flow Map,Virtual Reality,Cartographic Information Visualisation,Immersive Analytics",39,35,67,
InfoVis,2018,Visualizing Uncertain Tropical Cyclone Predictions using Representative Samples from Ensembles of Forecast Tracks,10.1109/TVCG.2018.2865193,http://dx.doi.org/10.1109/TVCG.2018.2865193,882,891,J,"A common approach to sampling the space of a prediction is the generation of an ensemble of potential outcomes, where the ensemble's distribution reveals the statistical structure of the prediction space. For example, the US National Hurricane Center generates multiple day predictions for a storm's path, size, and wind speed, and then uses a Monte Carlo approach to sample this prediction into a large ensemble of potential storm outcomes. Various forms of summary visualizations are generated from such an ensemble, often using spatial spread to indicate its statistical characteristics. However, studies have shown that changes in the size of such summary glyphs, representing changes in the uncertainty of the prediction, are frequently confounded with other attributes of the phenomenon, such as its size or strength. In addition, simulation ensembles typically encode multivariate information, which can be difficult or confusing to include in a summary display. This problem can be overcome by directly displaying the ensemble as a set of annotated trajectories, however this solution will not be effective if ensembles are densely overdrawn or structurally disorganized. We propose to overcome these difficulties by selectively sampling the original ensemble, constructing a smaller representative and spatially well organized ensemble. This can be drawn directly as a set of paths that implicitly reveals the underlying spatial uncertainty distribution of the prediction. Since this approach does not use a visual channel to encode uncertainty, additional information can more easily be encoded in the display without leading to visual confusion. To demonstrate our argument, we describe the development of a visualization for ensembles of tropical cyclone forecast tracks, explaining how their spatial and temporal predictions, as well as other crucial storm characteristics such as size and intensity, can be clearly revealed. We verify the effectiveness of this visualization approach through a cognitive study exploring how storm damage estimates are affected by the density of tracks drawn, and by the presence or absence of annotating information on storm size and intensity.",Le Liu 0007;Lace M. K. Padilla;Sarah H. Creem-Regehr;Donald H. House,Le Liu;Lace Padilla;Sarah H. Creem-Regehr;Donald H. House,"Magic Weaver Inc., Santa Clara, CA;Department of Psychology, Northwestern University, Evanston, IL;Department of Psychology, University of Utah, Salt Lake City, UT;School of Computing, Clemson University, Clemson, SC",10.1109/TVCG.2017.2743898;10.1109/TVCG.2010.181,"uncertainty visualization,hurricane forecasts,ensemble visualization,ensemble sampling,implicit uncertainty",11,23,32,
InfoVis,2018,DimReader: Axis lines that explain non-linear projections,10.1109/TVCG.2018.2865194,http://dx.doi.org/10.1109/TVCG.2018.2865194,481,490,J,"Non-linear dimensionality reduction (NDR) methods such as LLE and t-SNE are popular with visualization researchers and experienced data analysts, but present serious problems of interpretation. In this paper, we present DimReader, a technique that recovers readable axes from such techniques. DimReader is based on analyzing infinitesimal perturbations of the dataset with respect to variables of interest. The perturbations define exactly how we want to change each point in the original dataset and we measure the effect that these changes have on the projection. The recovered axes are in direct analogy with the axis lines (grid lines) of traditional scatterplots. We also present methods for discovering perturbations on the input data that change the projection the most. The calculation of the perturbations is efficient and easily integrated into programs written in modern programming languages. We present results of DimReader on a variety of NDR methods and datasets both synthetic and real-life, and show how it can be used to compare different NDR methods. Finally, we discuss limitations of our proposal and situations where further research is needed.",Rebecca Faust;David Glickenstein;Carlos Scheidegger,Rebecca Faust;David Glickenstein;Carlos Scheidegger,University of Arizona;University of Arizona;University of Arizona,10.1109/TVCG.2014.2346984;10.1109/TVCG.2014.2346431;10.1109/TVCG.2013.124;10.1109/VISUAL.1996.567787;10.1109/VAST.2010.5652460;10.1109/TVCG.2015.2467552;10.1109/VAST.2011.6102449;10.1109/TVCG.2013.157;10.1109/TVCG.2011.220;10.1109/TVCG.2014.2346325;10.1109/INFVIS.2002.1173161;10.1109/TVCG.2016.2598495;10.1109/TVCG.2013.153;10.1109/TVCG.2015.2467717,"Non-linear dimensionality reduction,auto-differentiation",8,10,52,
InfoVis,2018,NLIZE: A Perturbation-Driven Visual Interrogation Tool for Analyzing and Interpreting Natural Language Inference Models,10.1109/TVCG.2018.2865230,http://dx.doi.org/10.1109/TVCG.2018.2865230,651,660,J,"With the recent advances in deep learning, neural network models have obtained state-of-the-art performances for many linguistic tasks in natural language processing. However, this rapid progress also brings enormous challenges. The opaque nature of a neural network model leads to hard-to-debug-systems and difficult-to-interpret mechanisms. Here, we introduce a visualization system that, through a tight yet flexible integration between visualization elements and the underlying model, allows a user to interrogate the model by perturbing the input, internal state, and prediction while observing changes in other parts of the pipeline. We use the natural language inference problem as an example to illustrate how a perturbation-driven paradigm can help domain experts assess the potential limitation of a model, probe its inner states, and interpret and form hypotheses about fundamental model mechanisms such as attention.",Shusen Liu;Zhimin Li;Tao Li 0039;Vivek Srikumar;Valerio Pascucci;Peer-Timo Bremer,Shusen Liu;Zhimin Li;Tao Li;Vivek Srikumar;Valerio Pascucci;Peer-Timo Bremer,Lawrence Livermore National Laboratory;SCI InstituteUniversity of Utah;School of ComputingUniversity of Utah;School of ComputingUniversity of Utah;SCI InstituteUniversity of Utah;Lawrence Livermore National Laboratory,10.1109/TVCG.2017.2744683;10.1109/TVCG.2017.2744718;10.1109/TVCG.2017.2744938;10.1109/TVCG.2016.2598831;10.1109/TVCG.2017.2745141;10.1109/TVCG.2017.2744358;10.1109/TVCG.2017.2744158;10.1109/VISUAL.2005.1532820;10.1109/TVCG.2017.2744878,"Natural Language Processing,Interpretable Machine Learning,Natural Language Inference,Attention Visualization",16,18,40,
InfoVis,2018,SmartCues: A Multitouch Query Approach for Details-on-Demand through Dynamically Computed Overlays,10.1109/TVCG.2018.2865231,http://dx.doi.org/10.1109/TVCG.2018.2865231,597,607,J,"Details-on-demand is a crucial feature in the visual information-seeking process but is often only implemented in highly constrained settings. The most common solution, hover queries (i.e., tooltips), are fast and expressive but are usually limited to single mark (e.g., a bar in a bar chart). `Queries' to retrieve details for more complex sets of objects (e.g., comparisons between pairs of elements, averages across multiple items, trend lines, etc.) are difficult for end-users to invoke explicitly. Further, the output of these queries require complex annotations and overlays which need to be displayed and dismissed on demand to avoid clutter. In this work we introduce SmartCues, a library to support details-on-demand through dynamically computed overlays. For end-users, SmartCues provides multitouch interactions to construct complex queries for a variety of details. For designers, SmartCues offers an interaction library that can be used out-of-the-box, and can be extended for new charts and detail types. We demonstrate how SmartCues can be implemented across a wide array of visualization types and, through a lab study, show that end users can effectively use SmartCues.",Hariharan Subramonyam;Eytan Adar,Hariharan Subramonyam;Eytan Adar,School of InformationUniversity of Michigan;School of InformationUniversity of Michigan,10.1109/INFVIS.1995.528688;10.1109/INFVIS.2005.1532136;10.1109/TVCG.2013.124;10.1109/TVCG.2006.187;10.1109/VAST.2010.5652885;10.1109/TVCG.2013.119;10.1109/VAST.2012.6400487;10.1109/TVCG.2014.2346250;10.1109/TVCG.2012.229;10.1109/TVCG.2008.109;10.1109/TVCG.2012.204;10.1109/TVCG.2010.179;10.1109/TVCG.2017.2745958;10.1109/TVCG.2007.70515,"Graphical overlays,details-on-demand,graph comprehension",3,1,73,
InfoVis,2018,Narvis: Authoring Narrative Slideshows for Introducing Data Visualization Designs,10.1109/TVCG.2018.2865232,http://dx.doi.org/10.1109/TVCG.2018.2865232,779,788,J,"Visual designs can be complex in modern data visualization systems, which poses special challenges for explaining them to the non-experts. However, few if any presentation tools are tailored for this purpose. In this study, we present Narvis, a slideshow authoring tool designed for introducing data visualizations to non-experts. Narvis targets two types of end users: teachers, experts in data visualization who produce tutorials for explaining a data visualization, and students, non-experts who try to understand visualization designs through tutorials. We present an analysis of requirements through close discussions with the two types of end users. The resulting considerations guide the design and implementation of Narvis. Additionally, to help teachers better organize their introduction slideshows, we specify a data visualization as a hierarchical combination of components, which are automatically detected and extracted by Narvis. The teachers craft an introduction slideshow through first organizing these components, and then explaining them sequentially. A series of templates are provided for adding annotations and animations to improve efficiency during the authoring process. We evaluate Narvis through a qualitative analysis of the authoring experience, and a preliminary evaluation of the generated slideshows.",Qianwen Wang;Zhen Li 0044;Siwei Fu;Weiwei Cui;Huamin Qu,Qianwen Wang;Zhen Li;Siwei Fu;Weiwei Cui;Huamin Qu,Hong Kong University of Science and Technology;Hong Kong University of Science and Technology;Hong Kong University of Science and Technology;Microsoft Research Asia;Hong Kong University of Science and Technology,10.1109/TVCG.2016.2598647;10.1109/TVCG.2009.174;10.1109/TVCG.2016.2598876;10.1109/TVCG.2015.2467196;10.1109/TVCG.2011.239;10.1109/VAST.2007.4388992;10.1109/TVCG.2015.2467531;10.1109/TVCG.2007.70539;10.1109/TVCG.2013.119;10.1109/TVCG.2013.191;10.1109/TVCG.2010.183,"Education,Narrative Visualization,Authoring Tools",7,8,42,
InfoVis,2018,Mitigating the Attraction Effect with Visualizations,10.1109/TVCG.2018.2865233,http://dx.doi.org/10.1109/TVCG.2018.2865233,850,860,J,"Human decisions are prone to biases, and this is no less true for decisions made within data visualizations. Bias mitigation strategies often focus on the person, by educating people about their biases, typically with little success. We focus instead on the system, presenting the first evidence that altering the design of an interactive visualization tool can mitigate a strong bias - the attraction effect. Participants viewed 2D scatterplots where choices between superior alternatives were affected by the placement of other suboptimal points. We found that highlighting the superior alternatives weakened the bias, but did not eliminate it. We then tested an interactive approach where participants completely removed locally dominated points from the view, inspired by the elimination by aspects strategy in the decision-making literature. This approach strongly decreased the bias, leading to a counterintuitive suggestion: tools that allow removing inappropriately salient or distracting data from a view may help lead users to make more rational decisions.",Evanthia Dimara;Gilles Bailly;Anastasia Bezerianos;Steven Franconeri,Evanthia Dimara;Gilles Bailly;Anastasia Bezerianos;Steven Franconeri,ISIR;ISIR;Univ. Paris-Sud & CNRS (LRI)Inria;Northwestern Univ.,10.1109/INFVIS.2005.1532136;10.1109/VAST.2017.8585665;10.1109/INFVIS.1996.559213;10.1109/TVCG.2016.2598594;10.1109/TVCG.2017.2745138;10.1109/TVCG.2013.173;10.1109/VAST.2010.5652880;10.1109/TVCG.2012.199;10.1109/TVCG.2015.2467758;10.1109/TVCG.2016.2598589;10.1109/VISUAL.1992.235203;10.1109/TVCG.2017.2744138;10.1109/VAST.2017.8585669;10.1109/VISUAL.1990.146375;10.1109/TVCG.2010.161;10.1109/TVCG.2007.70515,"Decision making,cognitive bias,bias alleviation,bias mitigation,debiasing,information visualization,attraction effect",20,18,98,
InfoVis,2018,Visualizing Ranges over Time on Mobile Phones: A Task-Based Crowdsourced Evaluation,10.1109/TVCG.2018.2865234,http://dx.doi.org/10.1109/TVCG.2018.2865234,619,629,J,"In the first crowdsourced visualization experiment conducted exclusively on mobile phones, we compare approaches to visualizing ranges over time on small displays. People routinely consume such data via a mobile phone, from temperatures in weather forecasting apps to sleep and blood pressure readings in personal health apps. However, we lack guidance on how to effectively visualize ranges on small displays in the context of different value retrieval and comparison tasks, or with respect to different data characteristics such as periodicity, seasonality, or the cardinality of ranges. Central to our experiment is a comparison between two ways to lay out ranges: a more conventional linear layout strikes a balance between quantitative and chronological scale resolution, while a less conventional radial layout emphasizes the cyclicality of time and may prioritize discrimination between values at its periphery. With results from 87 crowd workers, we found that while participants completed tasks more quickly with linear layouts than with radial ones, there were few differences in terms of error rate between layout conditions. We also found that participants performed similarly with both layouts in tasks that involved comparing superimposed observed and average ranges.",Matthew Brehmer;Bongshin Lee;Petra Isenberg;Eun Kyoung Choe,Matthew Brehmer;Bongshin Lee;Petra Isenberg;Eun Kyoung Choe,"Microsoft Research;Microsoft Research;Inria;The University of Maryland, College Park",10.1109/TVCG.2011.185;10.1109/TVCG.2013.124;10.1109/TVCG.2010.209;10.1109/TVCG.2010.162;10.1109/VAST.2007.4388994,"Evaluation,graphical perception,mobile phones,range visualization,crowdsourcing",22,20,54,
InfoVis,2018,"Multiple Coordinated Views at Large Displays for Multiple Users: Empirical Findings on User Behavior, Movements, and Distances",10.1109/TVCG.2018.2865235,http://dx.doi.org/10.1109/TVCG.2018.2865235,608,618,J,"Interactive wall-sized displays benefit data visualization. Due to their sheer display size, they make it possible to show large amounts of data in multiple coordinated views (MCV) and facilitate collaborative data analysis. In this work, we propose a set of important design considerations and contribute a fundamental input vocabulary and interaction mapping for MCV functionality. We also developed a fully functional application with more than 45 coordinated views visualizing a real-world, multivariate data set of crime activities, which we used in a comprehensive qualitative user study investigating how pairs of users behave. Most importantly, we found that flexible movement is essential and-depending on user goals-is connected to collaboration, perception, and interaction. Therefore, we argue that for future systems interaction from the distance is required and needs good support. We show that our consistent design for both direct touch at the large display and distant interaction using mobile phones enables the seamless exploration of large-scale MCV at wall-sized displays. Our MCV application builds on design aspects such as simplicity, flexibility, and visual consistency and, therefore, supports realistic workflows. We believe that in the future, many visual data analysis scenarios will benefit from wall-sized displays presenting numerous coordinated visualizations, for which our findings provide a valuable foundation.",Ricardo Langner;Ulrike Kister;Raimund Dachselt,Ricardo Langner;Ulrike Kister;Raimund Dachselt,"Interactive Media Lab, Technische Universität Dresden, Germany;Interactive Media Lab, Technische Universität Dresden, Germany;Interactive Media Lab, Technische Universität Dresden, Germany",10.1109/VAST.2016.7883506;10.1109/TVCG.2012.251;10.1109/VAST.2010.5652880;10.1109/TVCG.2013.166;10.1109/TVCG.2013.134;10.1109/TVCG.2017.2743859;10.1109/TVCG.2017.2744019;10.1109/TVCG.2012.204;10.1109/TVCG.2017.2744198;10.1109/TVCG.2017.2745219;10.1109/TVCG.2009.162;10.1109/TVCG.2012.237;10.1109/TVCG.2012.275;10.1109/INFVIS.1996.559216;10.1109/TVCG.2006.184,"Multiple coordinated views,wall-sized displays,mobile devices,distant interaction,physical navigation,user behavior,user movements,multi-user,collaborative data analysis",19,21,79,
InfoVis,2018,Information Olfactation: Harnessing Scent to Convey Data,10.1109/TVCG.2018.2865237,http://dx.doi.org/10.1109/TVCG.2018.2865237,726,736,J,"Olfactory feedback for analytical tasks is a virtually unexplored area in spite of the advantages it offers for information recall, feature identification, and location detection. Here we introduce the concept of information olfactation as the fragrant sibling of information visualization, and discuss how scent can be used to convey data. Building on a review of the human olfactory system and mirroring common visualization practice, we propose olfactory marks, the substrate in which they exist, and their olfactory channels that are available to designers. To exemplify this idea, we present viScent: A six-scent stereo olfactory display capable of conveying olfactory glyphs of varying temperature and direction, as well as a corresponding software system that integrates the display with a traditional visualization display. Finally, we present three applications that make use of the viScent system: A 2D graph visualization, a 2D line and point chart, and an immersive analytics graph visualization in 3D virtual reality. We close the paper with a review of possible extensions of viScent and applications of information olfactation for general visualization beyond the examples in this paper.",Biswaksen Patnaik;Andrea Batch;Niklas Elmqvist,Biswaksen Patnaik;Andrea Batch;Niklas Elmqvist,"University of Maryland, College Park, MD, USA;University of Maryland, College Park, MD, USA;University of Maryland, College Park, MD, USA",10.1109/TVCG.2016.2599107,"Olfaction,smell,scent,olfactory display,immersive analytics,immersion",16,18,104,
InfoVis,2018,Formalizing Visualization Design Knowledge as Constraints: Actionable and Extensible Models in Draco,10.1109/TVCG.2018.2865240,http://dx.doi.org/10.1109/TVCG.2018.2865240,438,448,J,"There exists a gap between visualization design guidelines and their application in visualization tools. While empirical studies can provide design guidance, we lack a formal framework for representing design knowledge, integrating results across studies, and applying this knowledge in automated design tools that promote effective encodings and facilitate visual exploration. We propose modeling visualization design knowledge as a collection of constraints, in conjunction with a method to learn weights for soft constraints from experimental data. Using constraints, we can take theoretical design knowledge and express it in a concrete, extensible, and testable form: the resulting models can recommend visualization designs and can easily be augmented with additional constraints or updated weights. We implement our approach in Draco, a constraint-based system based on Answer Set Programming (ASP). We demonstrate how to construct increasingly sophisticated automated visualization design systems, including systems based on weights learned directly from the results of graphical perception experiments.",Dominik Moritz;Chenglong Wang;Greg L. Nelson;Halden Lin;Adam M. Smith 0001;Bill Howe;Jeffrey Heer,Dominik Moritz;Chenglong Wang;Greg L. Nelson;Halden Lin;Adam M. Smith;Bill Howe;Jeffrey Heer,University of Washington;University of Washington;University of Washington;University of Washington;University of California Santa Cruz;University of Washington;University of Washington,10.1109/INFVIS.2005.1532136;10.1109/TVCG.2014.2346984;10.1109/TVCG.2013.183;10.1109/TVCG.2014.2346979;10.1109/TVCG.2007.70594;10.1109/TVCG.2017.2744320;10.1109/TVCG.2017.2744198;10.1109/TVCG.2017.2744198;10.1109/TVCG.2016.2599030;10.1109/TVCG.2017.2744359;10.1109/TVCG.2015.2467191,"Automated Visualization Design,Perceptual Effectiveness,Constraints,Knowledge Bases,Answer Set Programming",107,72,67,BP
InfoVis,2018,A Framework for Creative Visualization-Opportunities Workshops,10.1109/TVCG.2018.2865241,http://dx.doi.org/10.1109/TVCG.2018.2865241,748,758,J,"Applied visualization researchers often work closely with domain collaborators to explore new and useful applications of visualization. The early stages of collaborations are typically time consuming for all stakeholders as researchers piece together an understanding of domain challenges from disparate discussions and meetings. A number of recent projects, however, report on the use of creative visualization-opportunities (CVO) workshops to accelerate the early stages of applied work, eliciting a wealth of requirements in a few days of focused work. Yet, there is no established guidance for how to use such workshops effectively. In this paper, we present the results of a 2-year collaboration in which we analyzed the use of 17 workshops in 10 visualization contexts. Its primary contribution is a framework for CVO workshops that: 1) identifies a process model for using workshops; 2) describes a structure of what happens within effective workshops; 3) recommends 25 actionable guidelines for future workshops; and 4) presents an example workshop and workshop methods. The creation of this framework exemplifies the use of critical reflection to learn about visualization in practice from diverse studies and experience.",Ethan Kerzner;Sarah Goodwin;Jason Dykes;Sara Jones 0001;Miriah D. Meyer,Ethan Kerzner;Sarah Goodwin;Jason Dykes;Sara Jones;Miriah Meyer,"University of Utah;Royal Melbourne Institute of TechnologyMonash University;City, University of London;City, University of London;University of Utah",10.1109/TVCG.2010.191;10.1109/TVCG.2013.145;10.1109/TVCG.2016.2598545;10.1109/TVCG.2016.2599338;10.1109/TVCG.2011.209;10.1109/TVCG.2017.2744459;10.1109/TVCG.2014.2346331;10.1109/TVCG.2009.111;10.1109/TVCG.2015.2467271;10.1109/TVCG.2016.2599030;10.1109/TVCG.2012.213;10.1109/TVCG.2013.132;10.1109/TVCG.2015.2467191,"User-centered visualization design,design studies,creativity workshops,critically reflective practice",27,24,90,
InfoVis,2018,At a Glance: Pixel Approximate Entropy as a Measure of Line Chart Complexity,10.1109/TVCG.2018.2865264,http://dx.doi.org/10.1109/TVCG.2018.2865264,872,881,J,"When inspecting information visualizations under time critical settings, such as emergency response or monitoring the heart rate in a surgery room, the user only has a small amount of time to view the visualization “at a glance”. In these settings, it is important to provide a quantitative measure of the visualization to understand whether or not the visualization is too “complex” to accurately judge at a glance. This paper proposes Pixel Approximate Entropy (PAE), which adapts the approximate entropy statistical measure commonly used to quantify regularity and unpredictability in time-series data, as a measure of visual complexity for line charts. We show that PAE is correlated with user-perceived chart complexity, and that increased chart PAE correlates with reduced judgement accuracy. `We also find that the correlation between PAE values and participants' judgment increases when the user has less time to examine the line charts.",Gabriel Ryan;Abigail Mosca;Remco Chang;Eugene Wu 0002,Gabriel Ryan;Abigail Mosca;Remco Chang;Eugene Wu,Columbia University;Tufts University;Tufts University;Columbia University,10.1109/TVCG.2011.229;10.1109/TVCG.2013.133;10.1109/TVCG.2010.131;10.1109/TVCG.2010.184;10.1109/VAST.2010.5653598;10.1109/TVCG.2007.70594;10.1109/INFVIS.2004.15;10.1109/VAST.2006.261423;10.1109/TVCG.2008.140;10.1109/TVCG.2010.161;10.1109/INFVIS.2005.1532142,"Visualization,Graphical Perception,Entropy,At-a-glance",7,12,69,
InfoVis,2018,Temporal Treemaps: Static Visualization of Evolving Trees,10.1109/TVCG.2018.2865265,http://dx.doi.org/10.1109/TVCG.2018.2865265,534,543,J,"We consider temporally evolving trees with changing topology and data: tree nodes may persist for a time range, merge or split, and the associated data may change. Essentially, one can think of this as a time series of trees with a node correspondence per hierarchy level between consecutive time steps. Existing visualization approaches for such data include animated 2D treemaps, where the dynamically changing layout makes it difficult to observe the data in its entirety. We present a method to visualize this dynamic data in a static, nested, and space-filling visualization. This is based on two major contributions: First, the layout constitutes a graph drawing problem. We approach it for the entire time span at once using a combination of a heuristic and simulated annealing. Second, we propose a rendering that emphasizes the hierarchy through an adaption of the classic cushion treemaps. We showcase the wide range of applicability using data from feature tracking in time-dependent scalar fields, evolution of file system hierarchies, and world population.",Wiebke Köpp;Tino Weinkauf,Wiebke Köpp;Tino Weinkauf,"KTH Royal Institute of Technology, Stockholm, Sweden;KTH Royal Institute of Technology, Stockholm, Sweden",10.1109/INFVIS.2005.1532128;10.1109/TVCG.2011.226;10.1109/TVCG.2008.166;10.1109/TVCG.2014.2346433;10.1109/TVCG.2017.2743959;10.1109/VISUAL.1991.175815;10.1109/TVCG.2013.196;10.1109/INFVIS.2001.963283;10.1109/TVCG.2017.2745140;10.1109/TVCG.2007.70529;10.1109/INFVIS.1999.801860;10.1109/TVCG.2008.163,"Treemaps,Temporal trees",11,9,40,
InfoVis,2018,Image-Based Aspect Ratio Selection,10.1109/TVCG.2018.2865266,http://dx.doi.org/10.1109/TVCG.2018.2865266,840,849,J,"Selecting a good aspect ratio is crucial for effective 2D diagrams. There are several aspect ratio selection methods for function plots and line charts, but only few can handle general, discrete diagrams such as 2D scatter plots. However, these methods either lack a perceptual foundation or heavily rely on intermediate isoline representations, which depend on choosing the right isovalues and are time-consuming to compute. This paper introduces a general image-based approach for selecting aspect ratios for a wide variety of 2D diagrams, ranging from scatter plots and density function plots to line charts. Our approach is derived from Federer's co-area formula and a line integral representation that enable us to directly construct image-based versions of existing selection methods using density fields. In contrast to previous methods, our approach bypasses isoline computation, so it is faster to compute, while following the perceptual foundation to select aspect ratios. Furthermore, this approach is complemented by an anisotropic kernel density estimation to construct density fields, allowing us to more faithfully characterize data patterns, such as the subgroups in scatterplots or dense regions in time series. We demonstrate the effectiveness of our approach by quantitatively comparing to previous methods and revisiting a prior user study. Finally, we present extensions for ROI banking, multi-scale banking, and the application to image data.",Yunhai Wang;Zeyu Wang 0005;Chi-Wing Fu;Hansjörg Schmauder;Oliver Deussen;Daniel Weiskopf,Yunhai Wang;Zeyu Wang;Chi-Wing Fu;Hansjörq Schmauder;Oliver Deussen;Daniel Weiskopf,"Shandong University;SIAT, Shenzhen VisuCA Key Lab, China;Chinese University of Hong Kong;VISUS, University of Stuttgart, Germany;Konstanz University, Germany;VISUS, University of Stuttgart, Germany",10.1109/TVCG.2008.119;10.1109/TVCG.2006.168;10.1109/TVCG.2013.187;10.1109/TVCG.2009.131;10.1109/TVCG.2010.146;10.1109/TVCG.2017.2744184;10.1109/TVCG.2006.168;10.1109/TVCG.2011.167;10.1109/TVCG.2012.196;10.1109/VAST.2009.5332628;10.1109/INFVIS.2005.1532142,"Aspect ratio,image-based method,Federer's co-area formula,density field,anisotropic kernel density estimation",1,1,42,
